timestamp,src_ip,dst_ip,dst_port,action
2026-05-24T14:18:36,4.11.48.142,127.0.0.1,8080,sent_syn
2026-05-24T14:18:36,212.53.25.175,127.0.0.1,8080,sent_syn
2026-05-24T14:18:36,226.2.215.203,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,39.22.78.195,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,204.97.122.97,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,20.138.204.33,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,14.123.159.123,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,41.182.53.247,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,177.214.67.3,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,35.93.178.39,127.0.0.1,8080,sent_syn
2026-05-24T14:18:37,3.242.91.95,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,65.123.69.188,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,155.56.40.17,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,195.213.2.230,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,109.66.155.44,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,45.100.153.254,127.0.0.1,8080,sent_syn
2026-05-24T14:18:38,153.151.227.217,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,106.254.174.113,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,48.248.2.98,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,14.136.139.72,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,200.87.161.199,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,11.66.109.213,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,196.170.10.168,127.0.0.1,8080,sent_syn
2026-05-24T14:18:39,197.193.209.242,127.0.0.1,8080,sent_syn
2026-05-24T14:18:40,111.152.20.6,127.0.0.1,8080,sent_syn
2026-05-24T14:18:40,224.154.231.152,127.0.0.1,8080,sent_syn
2026-05-24T14:18:40,98.96.185.91,127.0.0.1,8080,sent_syn
2026-05-24T14:18:40,18.67.77.197,127.0.0.1,8080,sent_syn
2026-05-24T14:18:40,59.114.86.238,127.0.0.1,8080,sent_syn
2026-05-24T14:18:41,219.132.239.23,127.0.0.1,8080,sent_syn
2026-05-24T14:18:41,199.55.96.216,127.0.0.1,8080,sent_syn
2026-05-24T14:18:41,212.177.184.175,127.0.0.1,8080,sent_syn
